Country Name,Personnel,Spending_USD,Spending_GDP_percent,SIPRI_Spending_2024,Textile_Demand_Tons
Kazakhstan,71000.0,640920000000.0,0.907188676192723,1208.9679058981856,426.0
Kenya,24000.0,118769500000.0,1.10843419595019,1231.306436546417,144.0
Kyrgyz Republic,21000.0,19876300000.0,3.10718371407588,473.0466608752266,126.0
Cambodia,191000.0,2536700000000.0,1.78010501633067,720.543532173392,1146.0
"Korea, Rep.",569000.0,54404800000000.0,2.64297706902012,54404800000000.0,3414.0
Kuwait,25000.0,2130900000.0,6.47217283542021,7792.925565710376,150.0
Lebanon,80000.0,2896500000000.0,3.02665836499332,635.4715719063546,480.0
Liberia,2000.0,12901000.0,0.424794204807376,33.825,12.0
Sri Lanka,317000.0,275601000000.0,1.73988733298184,1333.3123534166348,1902.0
Lesotho,2000.0,635975000.0,1.88146803172144,36.29597699581493,12.0
Lithuania,37000.0,1030000000.0,2.04915558023028,2627.47414171702,222.0
Luxembourg,1000.0,373000000.0,0.578077082223964,871.6431411964221,6.0
Latvia,9000.0,651000000.0,2.22759521686375,1425.694079367243,54.0
Morocco,246000.0,45865100000.0,3.97969764255599,5517.9243992338525,1476.0
Moldova,6000.0,769900000.0,0.385463275729941,110.72550200012377,36.0
Madagascar,22000.0,332778000000.0,0.673153896375499,121.63424673229977,132.0
Mexico,341000.0,172868400000.0,0.717690608258695,16726.425452093386,2046.0
North Macedonia,16000.0,8303000000.0,1.24058656980426,353.68497998573173,96.0
Mali,41000.0,341752000000.0,3.39955821425498,929.2785208614016,246.0
Malta,2000.0,75700000.0,0.527674290511624,109.25489636134313,12.0
Myanmar,463000.0,3442210000000.0,3.12332883859715,5011.272415126733,2778.0
Montenegro,12000.0,72746000.0,1.73802726045562,150.03320850397313,72.0
Mongolia,18000.0,268935300000.0,0.709909468541962,180.843441375323,108.0
Mozambique,11000.0,20002000000.0,2.02272611905463,450.44858739359756,66.0
Mauritania,21000.0,7468700000.0,2.38926918122421,260.0590172692291,126.0
Mauritius,3000.0,725000000.0,0.161615351006251,23.009853325713888,18.0
Malawi,15000.0,73544725000.0,0.834281207531417,117.58999454490588,90.0
Malaysia,136000.0,14180000000.0,0.999653920235799,4312.858466811218,816.0
Namibia,16000.0,6063925000.0,3.48015259214476,362.3923042925503,96.0
Niger,10000.0,137117000000.0,1.73360752172491,435.88052248737233,60.0
Nigeria,223000.0,974910000000.0,0.632022913474166,1133.303623276479,1338.0
Nicaragua,12000.0,2730600000.0,0.629971870953776,105.26401630988785,72.0
Netherlands,41000.0,11480100000.0,1.40607718904592,23179.21126017078,246.0
Norway,25000.0,68054000000.0,1.96598369239436,10435.320375709105,150.0
Nepal,112000.0,51462500000.0,1.32338446484361,426.5178344615292,672.0
New Zealand,10000.0,4330491000.0,1.3399501211388,2998.5275175821052,60.0
Oman,47000.0,2343800000.0,8.03024250539625,5988.296488946684,282.0
Pakistan,943000.0,1657581500000.0,3.48667909020303,10165.952756244771,5658.0
Peru,158000.0,9269000000.0,1.31677830419866,2565.2686137199557,948.0
Philippines,157000.0,232875000000.0,1.29724003910725,6117.535232861855,942.0
Papua New Guinea,4000.0,324500000.0,0.393261831182209,91.00505612322591,24.0
Poland,189000.0,53473900000.0,2.26305371895405,38000.72865237,1134.0
Portugal,52000.0,2867000000.0,1.42613611053982,4641.61858464707,312.0
Paraguay,29000.0,2465300000000.0,1.02757342677333,413.97134808491046,174.0
Romania,128000.0,21437000000.0,2.00415209230412,8715.729594321898,768.0
